player_id,year,team
22076,1987,447
23000,1967,7
23000,1970,7
23000,1971,7
23000,1972,14
3127,1974,24
3127,1975,24
3127,1976,24
3127,1977,24
3127,1978,24
3127,1979,24
3127,1980,24
3127,1981,24
3127,1982,24
3127,1983,24
3127,1984,24
15159,1978,26
20689,2003,17
20689,2004,17
20689,2005,17
20689,2006,17
20689,2007,17
20689,2008,17
20689,2009,5
3247,1979,28
3247,1980,28
3247,1981,28
3247,1982,28
3247,1983,28
3247,1984,28
3247,1985,447
13794,1983,29
13794,1984,29
13794,1985,29
13794,1986,29
13794,1987,29
13794,1988,32
13794,1989,32
13794,1990,32
13794,1991,16
13794,1992,13
13794,1992,26
13794,1993,26
6868,1985,27
4954,2006,23
16784,1981,13
16784,1982,13
18196,2012,20
18196,2013,20
18196,2014,20
18196,2015,20
16948,2002,24
16948,2003,24
16948,2004,23
16948,2006,26
16948,2007,26
16948,2007,24
16948,2008,24
16948,2009,30
8774,2005,5
8774,2006,5
8774,2007,5
14520,2010,15
14520,2011,15
14520,2012,15
14520,2014,18
14520,2015,18
4421,1964,15
4421,1966,15
4421,1967,15
4421,1968,15
4421,1969,15
4421,1970,15
4421,1971,15
4421,1972,15
4421,1973,15
4421,1974,15
398,1999,1
398,2000,1
398,2002,13
2993,1978,13
5136,1984,3
11364,1995,27
11364,1996,27
11364,1997,27
11364,1998,13
21007,2009,16
21007,2010,16
21007,2010,31
21007,2011,31
21007,2012,31
21007,2013,31
21007,2014,18
6093,1999,8
6093,2000,4
6093,2000,8
6013,1962,20
6013,1963,17
11255,1977,17
11255,1978,17
11255,1979,31
15191,1972,28
15191,1973,28
15191,1974,28
15191,1976,16
5647,1994,27
5647,1995,27
5647,1996,27
5647,1997,27
5647,1998,27
5647,1999,27
5647,2000,5
5647,2001,30
5647,2002,30
5647,2003,30
5647,2004,30
5647,2005,8
5647,2007,31
24084,1996,30
24084,1997,30
24084,1997,4
24084,1998,30
24084,1999,30
24084,2000,1
24084,2001,1
24084,2002,29
24084,2003,29
24084,2004,29
18780,1988,13
18780,1989,13
18780,1990,13
18780,1991,18
18780,1992,18
20247,1987,3
13239,1997,15
986,1960,12
986,1961,12
986,1962,12
986,1963,12
986,1965,12
1091,1997,26
20891,1986,22
20891,1987,22
20891,1988,22
20891,1989,22
20891,1989,18
20891,1990,18
20891,1991,27
20891,1992,28
20891,1993,28
20891,1994,2
