year,team,wins,losses,ties,win_loss_perc,points,points_opp,points_diff,mov,turnovers,total_yards,pass_yds,rush_yds,penalties,exp_pts_tot
2009,7,9,7,,0.563,368,324,44,2.8,25,5941,4148,1793,85,-69.44
2009,8,5,11,,0.313,245,375,-130,-8.1,31,4163,2076,2087,77,-207.34
2009,9,14,2,,0.875,416,307,109,6.8,24,5809,4515,1294,74,43.68
2009,12,9,7,,0.563,388,333,55,3.4,28,6129,4654,1475,95,-28.67
2009,10,8,8,,0.5,354,402,-48,-3.0,31,5623,3031,2592,98,-113.09
2009,11,7,9,,0.438,290,380,-90,-5.6,23,5385,3356,2029,70,-95.89
2009,16,13,3,,0.813,454,320,134,8.4,17,5761,4338,1423,78,-11.67
2009,14,8,8,,0.5,326,324,2,0.1,23,5463,3627,1836,93,-111.32
2009,15,5,11,,0.313,197,379,-182,-11.4,33,4258,2557,1701,117,-296.58
2009,13,4,12,,0.25,294,424,-130,-8.1,27,4851,2922,1929,84,-192.81
2009,18,11,5,,0.688,361,250,111,6.9,19,6390,4287,2103,115,-32.87
2009,17,11,5,,0.688,429,337,92,5.8,23,5726,4089,1637,115,-49.4
2009,20,8,8,,0.5,402,427,-25,-1.6,31,5856,4019,1837,95,-34.71
2009,19,4,12,,0.25,266,336,-70,-4.4,28,5000,3490,1510,85,-155.59
2009,22,12,4,,0.75,470,312,158,9.9,18,6074,4156,1918,101,7.01
2009,21,11,5,,0.688,461,297,164,10.3,16,6065,4180,1885,118,72.34
2009,23,7,9,,0.438,327,375,-48,-3.0,34,4965,3473,1492,100,-206.86
2009,24,2,14,,0.125,262,494,-232,-14.5,41,4784,3168,1616,98,-196.67
2009,26,13,3,,0.813,510,341,169,10.6,28,6461,4355,2106,89,60.76
2009,28,9,7,,0.563,363,325,38,2.4,25,5447,3571,1876,78,-77.35
2009,25,8,8,,0.5,315,308,7,0.4,31,5297,2799,2498,88,-123.58
2009,27,3,13,,0.188,244,400,-156,-9.8,34,4600,2973,1627,93,-226.98
2009,32,10,6,,0.625,375,325,50,3.1,36,5510,4016,1494,108,-116.0
2009,31,8,8,,0.5,330,281,49,3.1,24,4652,3052,1600,98,-137.18
2009,30,5,11,,0.313,280,390,-110,-6.9,31,5069,3503,1566,95,-169.53
2009,29,1,15,,0.063,175,436,-261,-16.3,33,4470,2686,1784,100,-246.26
2010,1,14,2,,0.875,518,313,205,12.8,10,5820,3847,1973,83,73.64
2010,4,11,5,,0.688,367,304,63,3.9,21,5616,3242,2374,103,-122.93
2010,2,7,9,,0.438,273,333,-60,-3.8,31,5170,3527,1643,72,-174.02
2010,3,4,12,,0.25,283,425,-142,-8.9,39,4878,3158,1720,82,-174.07
2010,7,12,4,,0.75,375,232,143,8.9,18,5525,3601,1924,100,-133.72
2010,5,12,4,,0.75,357,270,87,5.4,20,5166,3335,1831,90,-79.88
2010,8,5,11,,0.313,271,332,-61,-3.8,29,4635,2989,1646,78,-169.65
2010,6,4,12,,0.25,322,395,-73,-4.6,34,5289,3767,1522,90,-148.58
2010,9,10,6,,0.625,435,388,47,2.9,25,6092,4609,1483,79,28.65
2010,11,8,8,,0.5,353,419,-66,-4.1,33,5460,3065,2395,83,-35.27
2010,12,6,10,,0.375,390,427,-37,-2.3,18,6186,4144,2042,90,53.17
2010,10,6,10,,0.375,356,339,17,1.1,29,4834,3107,1727,128,-71.69
2010,13,10,6,,0.625,366,326,40,2.5,14,5595,2968,2627,90,-93.85
2010,16,9,7,,0.563,441,322,119,7.4,29,6329,4519,1810,84,27.47
2010,15,8,8,,0.5,410,371,39,2.4,26,5674,3180,2494,148,-110.8
2010,14,4,12,,0.25,344,471,-127,-7.9,27,5582,4038,1544,98,-125.44
2010,17,10,6,,0.625,439,377,62,3.9,25,6230,3906,2324,129,-11.0
2010,20,10,6,,0.625,394,347,47,2.9,42,6085,3885,2200,92,-49.21
2010,18,6,10,,0.375,394,436,-42,-2.6,30,5828,4042,1786,109,-108.16
2010,19,6,10,,0.375,302,377,-75,-4.7,31,5374,3913,1461,90,-134.87
2010,23,11,5,,0.688,334,286,48,3.0,31,4631,3015,1616,91,-227.26
2010,21,10,6,,0.625,388,240,148,9.3,22,5730,4124,1606,78,-45.71
2010,24,6,10,,0.375,362,369,-7,-0.4,25,5423,3810,1613,136,-105.43
2010,22,6,10,,0.375,281,348,-67,-4.2,37,5039,3097,1942,100,-126.19
2010,28,13,3,,0.813,414,288,126,7.9,17,5458,3567,1891,58,-39.55
2010,26,11,5,,0.688,384,307,77,4.8,31,5960,4441,1519,90,-53.15
2010,27,10,6,,0.625,341,318,23,1.4,19,5362,3361,2001,100,-94.23
2010,25,2,14,,0.125,196,408,-212,-13.3,37,4135,2289,1846,106,-280.1
2010,30,7,9,,0.438,310,407,-97,-6.1,31,4765,3341,1424,101,-197.05
2010,29,7,9,,0.438,289,328,-39,-2.4,21,4846,3268,1578,102,-203.89
2010,31,6,10,,0.375,305,346,-41,-2.6,23,5013,3356,1657,112,-95.38
2010,32,5,11,,0.313,289,434,-145,-9.1,35,4309,2921,1388,108,-215.39
2011,1,13,3,,0.813,513,342,171,10.7,17,6848,5084,1764,87,99.08
2011,4,8,8,,0.5,377,363,14,0.9,34,4989,3297,1692,102,-156.9
2011,2,6,10,,0.375,329,313,16,1.0,25,5078,3091,1987,85,-126.5
2011,3,6,10,,0.375,372,434,-62,-3.9,30,5624,3703,1921,86,-104.05
2011,5,12,4,,0.75,378,266,112,7.0,24,5419,3423,1996,92,-72.94
2011,7,12,4,,0.75,325,227,98,6.1,28,5957,4054,1903,101,-91.67
2011,6,9,7,,0.563,344,323,21,1.3,22,5118,3340,1778,99,-104.83
2011,8,4,12,,0.25,218,307,-89,-5.6,19,4621,3090,1531,95,-180.18
2011,12,10,6,,0.625,381,278,103,6.4,20,5954,3506,2448,99,-63.12
2011,10,9,7,,0.563,325,317,8,0.5,22,5361,3923,1438,104,-77.3
2011,11,5,11,,0.313,243,329,-86,-5.4,23,4149,2179,1970,77,-229.23
2011,9,2,14,,0.125,243,430,-187,-11.7,29,4589,2995,1594,76,-156.99
2011,14,8,8,,0.5,309,390,-81,-5.1,30,5066,2434,2632,101,-154.77
2011,16,8,8,,0.5,406,377,29,1.8,28,6290,4426,1864,91,-30.34
2011,15,8,8,,0.5,359,433,-74,-4.6,30,6072,3962,2110,163,-151.03
2011,13,7,9,,0.438,212,338,-126,-7.9,28,4973,3080,1893,110,-185.47
2011,20,9,7,,0.563,394,400,-6,-0.4,24,6161,4734,1427,94,-45.79
2011,17,8,8,,0.5,396,328,68,4.3,38,6386,4110,2276,107,-37.96
2011,18,8,8,,0.5,369,347,22,1.4,21,6008,4201,1807,114,-45.46
2011,19,5,11,,0.313,288,367,-79,-4.9,35,5387,3773,1614,91,-194.94
2011,21,15,1,,0.938,560,359,201,12.6,14,6482,4924,1558,76,92.5
2011,24,10,6,,0.625,474,387,87,5.4,23,6337,4814,1523,128,33.96
2011,23,8,8,,0.5,353,341,12,0.8,29,5026,3011,2015,104,-192.92
2011,22,3,13,,0.188,340,449,-109,-6.8,26,5275,2957,2318,109,-77.5
2011,26,13,3,,0.813,547,339,208,13.0,19,7474,5347,2127,99,165.64
2011,28,10,6,,0.625,402,350,52,3.3,21,6026,4192,1834,93,-22.37
2011,25,6,10,,0.375,406,429,-23,-1.4,23,6237,3829,2408,113,39.94
2011,27,4,12,,0.25,287,494,-207,-12.9,40,5108,3650,1458,123,-185.87
2011,31,13,3,,0.813,380,229,151,9.4,10,4974,2930,2044,113,-152.56
2011,32,8,8,,0.5,312,348,-36,-2.3,32,5192,3567,1625,106,-98.26
2011,30,7,9,,0.438,321,315,6,0.4,23,4861,3105,1756,138,-137.47
2011,29,2,14,,0.125,193,407,-214,-13.4,23,4537,2870,1667,112,-237.06
2012,1,12,4,0.0,0.75,557,331,226,,16,6846,4662,2184,97,118.97
2012,2,7,9,0.0,0.438,288,317,-29,,26,4984,3182,1802,82,-88.66
2012,4,6,10,0.0,0.375,281,375,-94,,37,4787,2891,1896,83,-166.55
2012,3,6,10,0.0,0.375,344,435,-91,,34,5486,3269,2217,104,-100.38
2012,5,10,6,0.0,0.625,398,344,54,,16,5640,3739,1901,121,22.03
2012,6,10,6,0.0,0.625,391,320,71,,26,5323,3578,1745,99,-90.48
2012,7,8,8,0.0,0.5,336,314,22,,30,5324,3787,1537,92,-108.05
2012,8,5,11,0.0,0.313,302,368,-66,,26,5028,3435,1593,113,-139.68
2012,12,12,4,0.0,0.75,416,331,85,,17,5953,3830,2123,108,-20.08
2012,9,11,5,0.0,0.688,357,387,-30,,27,5799,4128,1671,94,-73.11
2012,10,6,10,0.0,0.375,330,471,-141,,28,5010,3323,1687,106,-109.54
2012,11,2,14,0.0,0.125,255,444,-189,,26,4788,3419,1369,101,-192.09
2012,14,13,3,0.0,0.813,481,289,192,,25,6366,4534,1832,100,54.27
2012,16,7,9,0.0,0.438,350,350,0,,26,4756,3295,1461,103,-125.47
2012,15,4,12,0.0,0.25,290,443,-153,,26,5504,4084,1420,108,-118.39
2012,13,2,14,0.0,0.125,211,425,-214,,37,5108,2713,2395,92,-203.56
2012,19,10,6,0.0,0.625,436,388,48,,14,6131,3422,2709,116,-16.5
2012,20,9,7,0.0,0.563,429,344,85,,21,5687,3825,1862,72,-14.71
2012,18,8,8,0.0,0.5,376,400,-24,,29,5994,4729,1265,117,-39.11
2012,17,4,12,0.0,0.25,280,444,-164,,37,5665,3791,1874,98,-174.47
2012,21,11,5,0.0,0.688,433,336,97,,16,5751,4049,1702,103,25.77
2012,22,10,6,0.0,0.625,379,348,31,,23,5385,2751,2634,90,-59.9
2012,23,10,6,0.0,0.625,375,277,98,,24,4969,2999,1970,102,-115.17
2012,24,4,12,0.0,0.25,372,437,-65,,33,6540,4927,1613,103,-59.66
2012,28,13,3,0.0,0.813,419,299,120,,18,5906,4509,1397,55,-18.12
2012,25,7,9,0.0,0.438,357,363,-6,,22,5771,3683,2088,98,2.08
2012,26,7,9,0.0,0.438,461,454,7,,24,6574,4997,1577,104,74.33
2012,27,7,9,0.0,0.438,389,394,-5,,23,5820,3983,1837,101,-32.9
2012,31,11,4,1.0,0.719,397,273,124,,16,5789,3298,2491,109,-15.31
2012,30,11,5,0.0,0.688,412,245,167,,18,5610,3031,2579,110,9.07
2012,29,7,8,1.0,0.469,299,348,-49,,22,5264,3550,1714,130,-136.28
2012,32,5,11,0.0,0.313,250,357,-107,,34,4209,3005,1204,102,-297.04
2013,1,12,4,0.0,0.75,444,338,106,,20,6152,4087,2065,69,100.43
2013,4,8,8,0.0,0.5,290,387,-97,,29,5090,2932,2158,108,-94.9
2013,2,8,8,0.0,0.5,317,335,-18,,26,5007,3567,1440,70,-18.67
2013,3,6,10,0.0,0.375,339,388,-49,,27,5410,3103,2307,110,-59.11
2013,6,11,5,0.0,0.688,430,305,125,,30,5891,4136,1755,102,33.5
2013,7,8,8,0.0,0.5,379,370,9,,24,5400,4017,1383,80,26.81
2013,5,8,8,0.0,0.5,320,352,-32,,29,4918,3590,1328,112,-95.39
2013,8,4,12,0.0,0.25,308,406,-98,,29,5423,4040,1383,104,-83.4
2013,9,11,5,0.0,0.688,391,336,55,,14,5468,3725,1743,66,98.0
2013,10,7,9,0.0,0.438,362,381,-19,,25,5390,3496,1894,101,46.52
2013,11,4,12,0.0,0.25,247,449,-202,,27,4701,3441,1260,96,-130.11
2013,12,2,14,0.0,0.125,276,428,-152,,31,5556,3813,1743,112,-85.06
2013,14,13,3,0.0,0.813,606,399,207,,26,7317,5444,1873,117,277.21
2013,13,11,5,0.0,0.688,430,305,125,,18,5396,3340,2056,101,38.85
2013,16,9,7,0.0,0.563,396,348,48,,21,6293,4328,1965,95,186.29
2013,15,4,12,0.0,0.25,322,453,-131,,31,5340,3340,2000,116,-52.12
2013,17,10,6,0.0,0.625,442,382,60,,19,6676,4110,2566,95,134.05
2013,18,8,8,0.0,0.5,439,432,7,,20,5458,3954,1504,102,88.89
2013,20,7,9,0.0,0.438,294,383,-89,,44,4920,3588,1332,91,-106.96
2013,19,3,13,0.0,0.188,334,478,-144,,34,5915,3751,2164,99,-42.64
2013,21,8,7,1.0,0.531,417,428,-11,,25,6404,4268,2136,86,113.82
2013,23,8,8,0.0,0.5,445,478,-33,,23,6109,4281,1828,85,75.28
2013,24,7,9,0.0,0.438,395,376,19,,34,6274,4482,1792,110,25.59
2013,22,5,10,1.0,0.344,391,480,-89,,32,5508,3427,2081,70,24.52
2013,25,12,4,0.0,0.75,366,241,125,,19,5069,3043,2026,80,90.4
2013,26,11,5,0.0,0.688,414,304,110,,19,6391,4918,1473,95,169.86
2013,28,4,12,0.0,0.25,353,443,-90,,28,5490,4243,1247,91,48.53
2013,27,4,12,0.0,0.25,288,389,-101,,21,4432,2820,1612,121,-79.47
2013,30,13,3,0.0,0.813,417,231,186,,19,5424,3236,2188,128,60.55
2013,31,12,4,0.0,0.75,406,272,134,,18,5180,2979,2201,103,58.16
2013,32,10,6,0.0,0.625,379,324,55,,31,5542,4002,1540,96,-5.74
2013,29,7,9,0.0,0.438,348,364,-16,,21,4877,3125,1752,123,-11.2
2014,1,12,4,0.0,0.75,468,313,155,,13,5848,4121,1727,120,181.12
2014,3,9,7,0.0,0.563,343,289,54,,23,5096,3614,1482,124,-43.33
2014,2,8,8,0.0,0.5,388,373,15,,23,5601,3729,1872,81,74.78
2014,4,4,12,0.0,0.25,283,401,-118,,24,5226,2946,2280,109,-44.92
2014,7,11,5,0.0,0.688,436,368,68,,21,6577,4825,1752,103,156.58
2014,6,10,5,1.0,0.656,365,344,21,,26,5568,3421,2147,102,13.84
2014,5,10,6,0.0,0.625,409,302,107,,20,5838,3819,2019,111,135.24
2014,8,7,9,0.0,0.438,299,337,-38,,23,5193,3465,1728,116,-21.15
2014,9,11,5,0.0,0.688,458,369,89,,31,6506,4894,1612,105,83.73
2014,12,9,7,0.0,0.563,372,307,65,,22,5513,3352,2161,94,13.01
2014,11,3,13,0.0,0.188,249,412,-163,,26,4634,3001,1633,73,-120.53
2014,10,2,14,0.0,0.125,254,438,-184,,26,4859,3412,1447,111,-88.85
2014,14,12,4,0.0,0.75,482,354,128,,20,6446,4661,1785,120,140.4
2014,13,9,7,0.0,0.563,353,281,72,,17,5100,3182,1918,88,52.61
2014,16,9,7,0.0,0.563,348,348,0,,23,5465,4098,1367,111,64.94
2014,15,3,13,0.0,0.188,253,452,-199,,29,4515,3275,1240,116,-139.47
2014,18,12,4,0.0,0.75,467,352,115,,25,6138,3784,2354,105,174.23
2014,17,10,6,0.0,0.625,474,400,74,,36,6348,4356,1992,115,35.17
2014,20,6,10,0.0,0.375,380,400,-20,,28,5875,4272,1603,101,40.61
2014,19,4,12,0.0,0.25,301,438,-137,,31,5738,4047,1691,120,14.06
2014,21,12,4,0.0,0.75,486,348,138,,13,6178,4261,1917,92,172.28
2014,24,11,5,0.0,0.688,321,282,39,,20,5452,4030,1422,118,50.59
2014,22,7,9,0.0,0.438,325,343,-18,,20,5048,3244,1804,100,6.55
2014,23,5,11,0.0,0.313,319,442,-123,,29,5233,3792,1441,113,-11.8
2014,25,7,8,1.0,0.469,339,374,-35,,23,5547,3511,2036,83,44.08
2014,26,7,9,0.0,0.438,401,424,-23,,30,6582,4764,1818,80,151.45
2014,28,6,10,0.0,0.375,381,417,-36,,23,6051,4553,1498,97,61.55
2014,27,2,14,0.0,0.125,277,410,-133,,33,4672,3297,1375,118,-67.27
2014,30,12,4,0.0,0.75,394,254,140,,14,6012,3250,2762,130,137.18
2014,32,11,5,0.0,0.688,310,299,11,,17,5116,3808,1308,91,-9.8
2014,31,8,8,0.0,0.5,306,340,-34,,22,5239,3063,2176,116,13.79
2014,29,6,10,0.0,0.375,324,354,-30,,27,5035,3400,1635,123,-44.13
2015,1,12,4,,0.75,465,315,150,9.4,14,5991,4587,1404,96,138.04
2015,4,10,6,,0.625,387,314,73,4.6,24,5925,4057,1868,96,72.26
2015,3,8,8,,0.5,379,359,20,1.3,19,5775,3343,2432,143,37.71
2015,2,6,10,,0.375,310,389,-79,-4.9,19,5307,3811,1496,134,-4.88
2015,6,12,4,,0.75,419,279,140,8.8,17,5728,3923,1805,111,82.59
2015,7,10,6,,0.625,423,319,104,6.5,28,6327,4603,1724,94,22.98
