player_id,season_year,passing_yards,rushing_yards,receiving_yards,interceptions,tackles,field_goals,touchdowns
22,1995,0,0,0,0,0,0,0
22,1996,0,0,0,0,0,0,0
22,1997,0,0,0,0,0,0,0
23,1996,0,0,0,0,0,0,0
23,1997,0,0,0,0,0,0,0
23,1998,0,0,0,0,0,0,0
23,1999,0,0,0,0,0,0,0
23,2000,0,0,0,0,0,0,0
23,2001,0,0,0,0,0,0,0
23,2002,0,0,0,0,0,0,0
23,2003,0,0,0,0,0,0,0
23,2004,0,0,0,0,0,0,0
24,2000,0,0,0,0,0,0,0
24,2001,0,0,0,0,0,0,0
24,2002,0,0,0,0,0,0,0
24,2003,0,0,0,0,0,0,0
24,2004,0,0,0,0,0,0,0
24,2005,0,0,0,0,0,0,0
24,2006,0,0,0,0,0,0,0
24,2007,0,0,0,0,0,0,0
24,2008,0,0,0,0,39,0,0
24,2009,0,0,0,0,30,0,0
24,2010,0,0,0,0,36,0,0
24,2011,0,0,0,0,29,0,0
24,2012,0,0,0,0,33,0,0
24,2013,0,0,0,0,31,0,0
24,2014,0,0,0,0,0,0,0
25,1982,0,0,0,0,0,0,0
25,1983,0,0,0,0,0,0,0
25,1984,0,0,0,0,0,0,0
25,1985,0,0,0,0,0,0,0
25,1986,0,0,0,0,0,0,0
25,1987,0,0,0,0,0,0,0
26,1967,0,0,721,0,0,0,6
26,1968,0,27,890,0,0,0,7
26,1969,0,61,1015,0,0,0,7
26,1970,0,7,906,0,0,0,5
26,1971,0,0,657,0,0,0,5
26,1972,0,0,668,0,0,0,7
26,1973,0,0,460,0,0,0,1
26,1974,41,0,369,0,0,0,1
27,1983,0,0,0,0,0,0,0
27,1984,0,0,0,0,0,0,0
27,1985,0,0,0,0,0,0,0
27,1987,0,0,0,0,0,0,0
28,1990,0,0,0,0,0,0,0
28,1991,0,0,0,0,0,0,0
28,1992,0,0,0,0,0,0,0
28,1993,0,0,0,0,0,0,0
28,1994,0,0,0,0,0,0,0
28,1995,0,0,0,0,0,0,0
29,1997,0,0,0,0,0,0,0
29,1998,0,0,0,0,0,0,0
29,1999,0,0,0,0,0,0,0
33,1962,0,0,0,0,0,0,0
33,1963,0,0,0,0,0,0,0
33,1965,0,0,0,0,0,0,0
33,1966,0,0,0,0,0,0,0
35,1967,0,0,0,0,0,0,0
35,1969,0,0,0,0,0,0,0
35,1970,0,0,0,0,0,0,0
35,1971,0,0,0,0,0,0,0
35,1972,0,0,0,0,0,0,0
36,1987,0,0,0,0,0,0,0
37,1985,0,0,0,0,0,0,0
39,2013,0,0,0,0,1,0,0
39,2014,0,0,0,0,21,0,0
40,2011,0,0,0,0,30,0,0
40,2012,0,0,0,0,32,0,0
40,2013,0,0,0,0,4,0,0
40,2014,0,0,0,0,25,0,0
40,2015,0,0,0,0,24,0,0
40,2016,0,0,0,0,16,0,0
40,2017,0,0,0,0,19,0,0
41,1980,0,0,0,0,0,0,0
41,1981,0,0,0,0,0,0,0
41,1982,0,0,0,0,0,0,0
41,1983,0,0,0,0,0,0,0
41,1984,0,0,0,0,0,0,0
41,1987,0,0,0,0,0,0,0
42,2015,0,0,0,0,53,0,0
42,2016,0,0,0,0,16,0,0
42,2017,0,0,0,0,11,0,0
43,1982,0,0,0,0,0,0,0
43,1983,0,0,0,0,0,0,0
43,1984,0,0,0,0,0,0,0
43,1987,0,0,0,0,0,0,0
44,1996,0,0,0,0,0,0,0
44,1997,0,0,0,0,0,0,0
44,1998,0,0,0,0,0,0,0
44,1999,0,0,0,0,0,0,0
44,2000,0,0,0,0,0,0,0
44,2001,0,0,0,0,0,0,0
44,2002,0,0,0,0,0,0,0
44,2003,0,0,0,0,0,0,0
45,1969,0,0,0,0,0,0,0
45,1970,0,0,0,0,0,0,0
45,1971,0,0,0,0,0,0,0
45,1972,0,0,0,0,0,0,0
45,1973,0,0,0,0,0,0,0
45,1974,0,0,0,0,0,0,0
45,1975,0,0,0,0,0,0,0
45,1976,0,0,0,0,0,0,0
46,1984,0,0,0,0,0,0,0
48,1971,0,43,6,0,0,0,1
48,1972,0,303,76,0,0,0,1
48,1973,0,264,63,0,0,0,0
48,1974,0,93,84,0,0,0,2
48,1975,57,353,111,0,0,0,1
48,1976,0,93,28,0,0,0,1
49,1950,0,8,0,0,0,0,0
50,2016,0,0,0,0,30,0,0
50,2017,0,0,0,0,11,0,0
51,2003,0,0,0,0,0,0,0
51,2004,0,0,0,0,0,0,0
51,2005,0,0,0,0,0,0,0
51,2006,0,0,0,0,0,0,0
51,2007,0,0,0,0,0,0,0
51,2008,0,0,0,0,14,0,0
51,2009,0,0,0,0,36,0,0
51,2010,0,0,0,0,34,0,0
51,2011,0,0,0,0,13,0,0
52,1972,0,0,0,0,0,0,0
52,1974,0,0,0,0,0,0,0
52,1975,0,0,0,0,0,0,0
52,1976,0,0,0,0,0,0,0
52,1977,0,0,0,0,0,0,0
52,1978,0,0,0,0,0,0,0
53,2003,0,0,0,0,0,0,0
53,2005,0,0,0,0,0,0,0
53,2006,0,0,0,0,0,0,0
53,2007,0,0,0,0,0,0,0
54,1969,0,0,80,0,0,0,0
54,1970,0,0,36,0,0,0,0
54,1971,0,0,160,0,0,0,0
54,1973,0,7,197,0,0,0,0
54,1974,0,0,244,0,0,0,0
54,1975,0,0,0,0,0,0,0
54,1976,0,0,15,0,0,0,0
55,1975,0,0,0,0,0,0,0
55,1976,0,0,0,0,0,0,0
55,1977,0,0,0,0,0,0,0
56,2003,0,0,18,0,0,0,0
56,2004,0,0,0,0,0,0,0
56,2005,0,14,203,0,0,0,0
58,1985,0,49,12,0,0,0,1
58,1986,0,366,26,0,0,0,4
58,1987,0,343,38,0,0,0,1
58,1988,0,149,0,0,0,0,1
59,2011,0,0,0,0,0,0,0
60,2014,0,0,570,0,1,0,4
60,2015,0,0,531,0,0,0,2
60,2016,0,0,1214,0,0,0,14
60,2017,0,0,702,0,0,0,7
61,1987,0,49,8,0,0,0,1
62,1971,0,0,0,0,0,0,0
62,1972,0,0,0,0,0,0,0
62,1973,0,0,0,0,0,0,0
62,1974,0,0,0,0,0,0,0
63,1987,0,0,0,0,0,0,0
64,1998,0,0,0,0,0,0,0
64,1999,0,0,0,0,0,0,0
64,2000,0,0,0,0,0,0,0
64,2001,0,0,0,0,0,0,0
64,2002,0,0,0,0,0,0,0
64,2003,0,0,0,0,0,0,0
64,2004,0,0,0,0,0,0,0
